Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,IsAccurate,Position,LapStartTime,Compound,FreshTyre,TyreLife,NumberOfPitStops,PitOutTime,PitInTime,Sector1Time(s),Sector2Time(s),Sector3Time(s),Cum.SectorTime(s),LapTime(s),LapStartTime(s),PitInTime(s),PitOutTime(s),PitStopTime(s),PrevLapTime(s),LapΔ(s),CumLapTime(s),GapToLeader,Interval
0 days 01:03:36.820000,VER,1,1.0,0 days 00:01:31.585000,0 days 00:00:36.330000,0 days 00:00:28.929000,0 days 00:00:30.478000,False,1.0,0 days 01:02:04.960000,SOFT,True,1.0,0.0,0,0,2.6766750069502345,0.5055482414895606,1.9322173435784844,95.737,1.121811641595814,-1.0217430218326087,0.0,0.0,0.0,0.0,0.0,-1.0322239431960758,-0.7822607359117922,-0.5395808303297397
0 days 01:03:37.462000,NOR,4,1.0,0 days 00:01:32.227000,0 days 00:00:37.353000,0 days 00:00:28.594000,0 days 00:00:30.567000,False,2.0,0 days 01:02:04.960000,SOFT,True,1.0,0.0,0,0,2.961078676675006,0.3795373330825652,1.956641053787046,96.51400000000001,1.1742969260954876,-1.0217430218326087,0.0,0.0,0.0,0.43688685415304196,7.655932203389837,-1.032003533422722,-0.7652475785400916,-0.3681751435056178
0 days 01:03:38.001000,ALO,14,1.0,0 days 00:01:32.766000,0 days 00:00:36.326000,0 days 00:00:28.764000,0 days 00:00:30.590000,False,3.0,0 days 01:02:04.960000,SOFT,True,1.0,0.0,0,0,2.6755629691409495,0.4434831671995478,1.962952799121843,95.68,1.2183616742969265,-1.0217430218326087,0.0,0.0,0.0,0.3137671680837155,9.388983050847466,-1.0318184853419778,-0.7509639464164931,-0.3956748097717353
0 days 01:03:38.476000,RUS,63,1.0,0 days 00:01:33.241000,0 days 00:00:37.093000,0 days 00:00:28.820000,0 days 00:00:30.679000,False,4.0,0 days 01:02:04.960000,SOFT,True,1.0,0.0,0,0,2.888796219071448,0.4645476772616131,1.9873765093304046,96.59200000000001,1.2571942446043167,-1.0217430218326087,0.0,0.0,0.0,0.39167756703728024,8.983898305084749,-1.0316554095750883,-0.7383763299810395,-0.4127619810439262
0 days 01:03:39.511000,ALB,23,1.0,0 days 00:01:34.276000,0 days 00:00:36.857000,0 days 00:00:29.096000,0 days 00:00:31.301000,False,5.0,0 days 01:02:04.960000,SOFT,True,1.0,0.0,0,0,2.8231859883236012,0.5683656197103624,2.15806805708013,97.254,1.3418083714846303,-1.0217430218326087,0.0,0.0,0.0,0.49231523871811694,8.817796610169495,-1.031300076061971,-0.710948576274317,-0.26324923241225584
0 days 01:03:39.929000,SAI,55,1.0,0 days 00:01:34.694000,0 days 00:00:37.457000,0 days 00:00:29.401000,0 days 00:00:31.249000,False,6.0,0 days 01:02:04.960000,SOFT,True,1.0,0.0,0,0,2.989991659716429,0.6830919691555379,2.143798024149285,98.107,1.3759810333551343,-1.0217430218326087,0.0,0.0,0.0,0.4102354480052334,10.022881355932203,-1.0311565693871083,-0.699871473811124,-0.42798024295828596
0 days 01:03:40.789000,PIA,81,1.0,0 days 00:01:35.554000,0 days 00:00:37.722000,0 days 00:00:29.247000,0 days 00:00:31.488000,False,7.0,0 days 01:02:04.960000,SOFT,True,1.0,0.0,0,0,3.0636641645815947,0.6251645664848591,2.2093852908891316,98.457,1.4462884238064098,-1.0217430218326087,0.0,0.0,0.0,0.4225801177240036,10.623728813559325,-1.0308613164196871,-0.6770812630016665,-0.30997196635958807
0 days 01:03:42.309000,STR,18,1.0,0 days 00:01:37.074000,0 days 00:00:38.390000,0 days 00:00:29.907000,0 days 00:00:32.066000,False,8.0,0 days 01:02:04.960000,SOFT,True,1.0,0.0,0,0,3.2493744787322756,0.8734248636449117,2.368002195389681,100.363,1.5705526487900587,-1.0217430218326087,0.0,0.0,0.0,0.474247874427732,11.376271186440674,-1.0303394739656406,-0.6368008904082221,-0.13376051261520575
0 days 01:03:43.039000,BOT,77,1.0,0 days 00:01:37.804000,0 days 00:00:37.938000,0 days 00:00:29.254000,0 days 00:00:32.586000,False,9.0,0 days 01:02:04.960000,SOFT,True,1.0,0.0,0,0,3.1237142062830126,0.6277976302426177,2.5107025246981323,99.778,1.6302321778940487,-1.0217430218326087,0.0,0.0,0.0,0.2377370830608254,14.446610169491526,-1.0300888522607365,-0.6174557114653049,-0.34468028300618264
0 days 01:03:43.331000,HUL,27,1.0,0 days 00:01:38.096000,0 days 00:00:37.884000,0 days 00:00:29.602000,0 days 00:00:32.789000,False,10.0,0 days 01:02:04.960000,SOFT,False,1.0,0.0,0,0,3.1087016958576577,0.7586985141997359,2.566410537870471,100.275,1.6541039895356446,-1.0217430218326087,0.0,0.0,0.0,1.6542674950948346,0.010169491525424117,-1.029988603578775,-0.6097176398881518,-0.461620611400455
