Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,IsAccurate,Position,LapStartTime,FreshTyre,TyreLife,NumberOfPitStops,PitOutTime,PitInTime,Sector1Time(s),Sector2Time(s),Sector3Time(s),Cum.SectorTime(s),LapTime(s),LapStartTime(s),PitInTime(s),PitOutTime(s),PitStopTime(s),PrevLapTime(s),LapΔ(s),CumLapTime(s),GapToLeader,Interval,Compound_HARD,Compound_INTERMEDIATE,Compound_MEDIUM,Compound_SOFT,Compound_WET,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Status,Message,Category_CarEvent,Category_Drs,Category_Flag,Category_Other,Category_SafetyCar,Flag_BLACK AND WHITE,Flag_BLUE,Flag_CHEQUERED,Flag_CLEAR,Flag_DOUBLE YELLOW,Flag_GREEN,Flag_RED,Flag_YELLOW
0 days 01:03:44.036000,HAM,44,1.0,0 days 00:01:38.801000,0 days 00:00:39.117000,0 days 00:00:29.606000,0 days 00:00:33.122000,False,11.0,0 days 01:02:04.960000,0.0,-0.8333333333333334,0.0,0,0,3.451487350569917,0.760203122061313,2.657793633369924,101.845,1.7117396991497713,-1.0217430218326082,0.0,0.0,0.0,0.4684485859081258,12.882776132035593,-1.0297465648089705,-0.5910349670734322,-0.3513549592845074,False,False,True,False,False,0.23529411764705785,-0.09090909090909091,0.0,1.0,0.4545454545454547,-0.5333333333333333,-1.7142857142857137,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:44.310000,OCO,31,1.0,0 days 00:01:39.075000,0 days 00:00:37.481000,0 days 00:00:29.897000,0 days 00:00:33.030000,False,12.0,0 days 01:02:04.960000,0.0,-0.8333333333333334,0.0,0,0,2.996663886572142,0.8696633439909714,2.6325466520307366,100.408,1.734139960758666,-1.0217430218326082,0.0,0.0,0.0,0.43264672224946943,13.485399915361878,-1.0296524958402804,-0.583773899908561,-0.46642637832067774,False,False,False,True,False,0.23529411764705785,-0.09090909090909091,0.0,1.0,0.4545454545454547,-0.5333333333333333,-1.7142857142857137,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:44.978000,PER,11,1.0,0 days 00:01:39.743000,0 days 00:00:52.335000,0 days 00:00:29.339000,0 days 00:00:36.163000,False,13.0,0 days 01:02:04.960000,0.0,-0.8333333333333334,0.0,0,0,7.126216291353903,0.6597705473011088,3.4923161361141606,117.837,1.7887508175277957,-1.0217430218326082,0.0,-0.5900540630367612,0.0,0.3061141082229856,15.360981802793109,-1.0294231598144232,-0.5660717361635468,-0.3612334801762453,False,False,False,True,False,0.23529411764705785,-0.09090909090909091,0.0,1.0,0.4545454545454547,-0.5333333333333333,-1.7142857142857137,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:45.057000,SAR,2,1.0,0 days 00:01:39.822000,0 days 00:00:38.342000,0 days 00:00:30.081000,0 days 00:00:33.506000,False,14.0,0 days 01:02:04.960000,0.0,-0.8333333333333334,0.0,0,0,3.236030025020849,0.9388753056234713,2.763172338090012,101.929,1.7952092871157623,-1.0217430218326082,0.0,0.0,0.0,0.43591629883930155,14.08379179009738,-1.0293960377395088,-0.5639782167984925,-0.5184888532906373,False,False,False,True,False,0.23529411764705785,-0.09090909090909091,0.0,1.0,0.4545454545454547,-0.5333333333333333,-1.7142857142857137,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:48.036000,LEC,16,1.0,0 days 00:01:42.801000,0 days 00:01:02.095000,0 days 00:00:29.565000,0 days 00:00:38.556000,False,15.0,0 days 01:02:04.960000,0.0,-0.8333333333333334,0.0,0,0,9.83958854601056,0.7447808914801581,4.14901207464325,130.216,2.0387508175277964,-1.0217430218326082,0.0,-0.5881250186915763,0.0,0.2666339709007697,18.358019466779574,-1.0283732951930584,-0.48503398656436375,0.2557735949805811,False,False,False,True,False,0.23529411764705785,-0.09090909090909091,0.0,1.0,0.4545454545454547,-0.5333333333333333,-1.7142857142857137,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:49.128000,GAS,10,1.0,0 days 00:01:43.893000,0 days 00:00:58.024000,0 days 00:00:29.821000,0 days 00:00:38.852000,False,16.0,0 days 01:02:04.960000,0.0,-0.8333333333333334,0.0,0,0,8.707812065610227,0.8410757946210271,4.230241492864984,126.697,2.1280248528449968,-1.0217430218326082,0.0,-0.5885600628302147,0.0,0.24963217263364537,19.45831570038093,-1.0279983925879146,-0.4560957188853881,-0.2480309704979685,False,False,False,True,False,0.23529411764705785,-0.09090909090909091,0.0,1.0,0.4545454545454547,-0.5333333333333333,-1.7142857142857137,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:50.704000,ZHO,24,1.0,0 days 00:01:45.469000,0 days 00:00:55.076000,0 days 00:00:29.945000,0 days 00:00:39.176000,False,17.0,0 days 01:02:04.960000,0.0,-0.8333333333333334,0.0,0,0,7.888240200166803,0.8877186383298851,4.31915477497256,124.197,2.2568672334859383,-1.0217430218326082,0.0,-0.5891471440670837,0.0,0.37886218734673915,19.454083791790158,-1.027457324359245,-0.4143313325648153,-0.11880923775201448,False,False,False,True,False,0.23529411764705785,-0.09090909090909091,0.0,1.0,0.4545454545454547,-0.5333333333333333,-1.7142857142857137,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:52.104000,TSU,22,1.0,0 days 00:01:46.869000,0 days 00:01:01.721000,0 days 00:00:30.312000,0 days 00:00:39.927000,False,18.0,0 days 01:02:04.960000,0.0,-0.8333333333333334,0.0,0,0,9.735613010842362,1.0257664096294905,4.52524698133919,131.96,2.3713211249182473,-1.0217430218326082,0.0,-0.5875749154698778,0.0,0.4650155304888025,19.746931866271755,-1.026976679993676,-0.37723098938664124,-0.16579895875054046,False,False,False,True,False,0.23529411764705785,-0.09090909090909091,0.0,1.0,0.4545454545454547,-0.5333333333333333,-1.7142857142857137,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:55.687000,LAW,40,1.0,0 days 00:01:50.452000,0 days 00:01:12.898000,0 days 00:00:30.748000,0 days 00:00:42.908000,False,19.0,0 days 01:02:04.960000,0.0,-0.8333333333333334,0.0,0,0,12.842924659438415,1.1897686665412828,5.3433040614709135,146.554,2.664241334205363,-1.0217430218326082,0.0,-0.5855515845521468,0.0,0.35801863658656297,23.887431231485476,-1.025746573735223,-0.28228061109564323,0.41703377386189716,False,False,False,True,False,0.23529411764705785,-0.09090909090909091,0.0,1.0,0.4545454545454547,-0.5333333333333333,-1.7142857142857137,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:57.179000,MAG,20,1.0,0 days 00:01:51.944000,0 days 00:01:01.517000,0 days 00:00:29.953000,0 days 00:00:39.577000,False,20.0,0 days 01:02:04.960000,0.0,-0.8333333333333334,0.0,0,0,9.678899082568803,0.8907278540530369,4.429198682766192,131.047,2.7862164813603667,-1.0217430218326082,0.0,-0.5869579277107794,0.0,2.7859244727807773,0.010156580617859071,-1.0252343441684877,-0.24274224536576058,-0.14123615004676413,False,False,False,True,False,0.23529411764705785,-0.09090909090909091,0.0,1.0,0.4545454545454547,-0.5333333333333333,-1.7142857142857137,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
