Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,IsAccurate,Position,LapStartTime,Compound,FreshTyre,TyreLife,NumberOfPitStops,PitOutTime,PitInTime,Sector1Time(s),Sector2Time(s),Sector3Time(s),Cum.SectorTime(s),LapTime(s),LapStartTime(s),PitInTime(s),PitOutTime(s),PitStopTime(s),PrevLapTime(s),LapΔ(s),CumLapTime(s),GapToLeader,Interval
0 days 02:22:53.478000,ALB,23,58.0,0 days 00:01:14.613000,0 days 00:00:25.620000,0 days 00:00:26.580000,0 days 00:00:22.413000,True,6.0,0 days 02:21:38.865000,MEDIUM,True,14.0,1.0,0,0,-0.3329886246122022,-0.37777777777777766,-0.2815854665565645,74.613,-0.3043677716879543,0.5921370966719568,0.0,0.0,0.0,-0.293212843683908,-0.056221579164942644,0.6371268731828311,0.2983164546939928,0.9724357275376834
0 days 02:22:56.246000,RUS,63,58.0,0 days 00:01:15.270000,0 days 00:00:25.971000,0 days 00:00:26.624000,0 days 00:00:22.675000,True,7.0,0 days 02:21:40.976000,HARD,True,42.0,3.0,0,0,-0.2213029989658736,-0.36120527306967953,-0.20946875860170622,75.27,-0.2409155660719032,0.5928507474316942,0.0,0.0,0.0,-0.20726783310901806,-0.25217031831335934,0.6380959132625109,0.37800954416877675,0.2152133580704628
0 days 02:22:56.674000,HAM,44,58.0,0 days 00:01:13.904000,0 days 00:00:25.260000,0 days 00:00:26.466000,0 days 00:00:22.178000,True,8.0,0 days 02:21:42.770000,SOFT,True,13.0,3.0,0,0,-0.4475379842494624,-0.4207156308851212,-0.34627030002752496,73.904,-0.37284206968153216,0.5934572322554594,0.0,0.0,0.0,-0.36502595654681896,-0.024803637866888186,0.6382457503846578,0.3903320305470997,-0.4049827723297557
0 days 02:22:58.611000,OCO,31,58.0,0 days 00:01:15.975000,0 days 00:00:26.302000,0 days 00:00:26.785000,0 days 00:00:22.888000,True,9.0,0 days 02:21:42.636000,SOFT,True,15.0,3.0,0,0,-0.115981226632726,-0.30056497175141167,-0.15083952656206934,75.97500000000001,-0.17282758287659705,0.5934119318282662,0.0,0.0,0.0,-0.263122476446838,0.8110789582472084,0.6389238683883932,0.44609991866583043,-0.0050357805460460765
0 days 02:23:00.771000,NOR,4,58.0,0 days 00:01:15.076000,0 days 00:00:25.717000,0 days 00:00:26.736000,0 days 00:00:22.623000,True,10.0,0 days 02:21:45.695000,SOFT,False,19.0,3.0,0,0,-0.3021239360432744,-0.31902071563088413,-0.22378199834847184,75.07600000000001,-0.2596518337880587,0.5944460662072504,0.0,0.0,0.0,-0.26033455104787523,0.0438197602314868,0.639680055733808,0.5082881676779402,0.05406838059891677
0 days 02:23:02.237000,PIA,81,58.0,0 days 00:01:14.782000,0 days 00:00:25.530000,0 days 00:00:26.779000,0 days 00:00:22.473000,True,11.0,0 days 02:21:47.455000,MEDIUM,True,12.0,2.0,0,0,-0.36162596452151724,-0.30282485875706144,-0.2650701899256813,74.782,-0.28804597146099464,0.5950410568927728,0.0,0.0,0.0,-0.26965968083061015,-0.1190574617610633,0.640193282885835,0.5504955626093202,-0.1298701298700653
0 days 02:23:09.564000,TSU,22,58.0,0 days 00:01:17.197000,0 days 00:00:26.565000,0 days 00:00:27.528000,0 days 00:00:23.104000,True,12.0,0 days 02:21:52.367000,SOFT,True,48.0,2.0,0,0,-0.032296555564393585,-0.020715630885122294,-0.09138453069088921,77.197,-0.05480841200473195,0.5967016218060031,0.0,0.0,0.0,-0.05470101903480125,0.028937577511365636,0.6427583683857674,0.7614461646980778,1.4235356480251544
0 days 02:23:15.624000,ZHO,24,58.0,0 days 00:01:15.895000,0 days 00:00:25.968000,0 days 00:00:26.894000,0 days 00:00:23.033000,True,13.0,0 days 02:21:59.729000,SOFT,True,21.0,3.0,0,0,-0.2222575769628508,-0.25951035781544246,-0.11092760803743419,75.895,-0.18055387884202173,0.5991904407985111,0.0,0.0,0.0,-0.16612189963468646,-0.08929309632079747,0.6448798939937369,0.9359187522042979,1.0877285979326947
0 days 02:23:17.233000,STR,18,58.0,0 days 00:01:16.106000,0 days 00:00:25.766000,0 days 00:00:27.394000,0 days 00:00:22.946000,True,14.0,0 days 02:22:01.127000,SOFT,True,24.0,4.0,0,0,-0.2865324954259808,-0.07118644067796609,-0.13487475915221528,76.106,-0.16017577323321386,0.5996630527180342,0.0,0.0,0.0,-0.1790040376850614,0.19594873914840494,0.645443183548724,0.9822432395471027,-0.0919692552347321
0 days 02:23:19.770000,HUL,27,58.0,0 days 00:01:14.880000,0 days 00:00:25.606000,0 days 00:00:26.596000,0 days 00:00:22.678000,True,15.0,0 days 02:22:04.890000,SOFT,True,10.0,2.0,0,0,-0.33744332193142873,-0.37175141242937776,-0.20864299477016202,74.88,-0.27858125890334934,0.6009351833712272,0.0,0.0,0.0,-0.263987694674102,-0.08681273253410866,0.6463313535928525,1.05528564128032,0.1539888682746093
